nct_id,brief_title,overall_status,lead_sponsor_class,phase,start_date,ncfb_reason
NCT04685720,A Pilot Study to Assess the Effect of Intermittent iNO on the Treatment of NTM Lung Infection in CF and Non-CF Patients,COMPLETED,INDUSTRY,NA,2020-12-07,non-cystic fibrosis phrase
NCT04742270,Home Airway Clearance in Patients With Bronchiectasis (Home-Care Bronchiectasis),COMPLETED,INDUSTRY,NA,2021-03-04,non-cystic fibrosis bronchiectasis
NCT04884308,Bacille Calmette-Guerin (BCG) Vaccine for Immune Protection Against Infections,COMPLETED,OTHER,PHASE2,2021-04-28,non-cystic fibrosis bronchiectasis
NCT05006573,Efficacy and Safety of Benralizumab in Patients With Non-cystic Fibrosis Bronchiectasis,TERMINATED,INDUSTRY,PHASE3,2021-07-21,non-cystic fibrosis bronchiectasis
NCT05369624,Exercise Capacity in Non-cystic Fibrosis Bronchiectasis After a Pulmonary Rehabilitation Home-based Program,COMPLETED,OTHER,NA,2018-05-08,non-cystic fibrosis bronchiectasis
NCT05495243,"Phase 2a, 28-day Investigational Use Study of ARINA-1 in Non-Cystic Fibrosis Bronchiectasis (NCFBE) With Excess Mucus and Cough",COMPLETED,INDUSTRY,PHASE2,2022-10-03,non-cystic fibrosis bronchiectasis
NCT05523180,A Study to Evaluate the Effect of Probiotic Supplement on Quality of Life,COMPLETED,INDUSTRY,NA,2022-09-01,non-cystic fibrosis bronchiectasis
NCT05601778,A Study of HSK31858 in Participants with Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,PHASE2,2022-12-06,non-cystic fibrosis bronchiectasis
NCT05616221,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronchiectasis and Chronic Pulmonary Pseudomonas Aeruginosa Infection",COMPLETED,INDUSTRY,PHASE2,2023-01-10,non-cystic fibrosis bronchiectasis
NCT05743946,Trikafta for Patients With Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE4,2023-04-18,non-cystic fibrosis bronchiectasis
NCT05860803,Breathing Training and Exercise Capacity in Non-CFB,RECRUITING,OTHER,NA,2024-01-15,non-cystic fibrosis bronchiectasis
NCT06160713,Compare Oral Itraconazole and Standard Care Versus Standard Care Alone in Patients With Non-cystic Fibrosis Related Bronchiectasis With Chronic Aspergillus Infection in Reducing Bronchiectasis Exacerbations,UNKNOWN,OTHER,PHASE3,2023-12-01,non-cystic fibrosis phrase
NCT06164470,Impact of Support Groups for Patients With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2024-04-01,non-cystic fibrosis bronchiectasis
