nct_id,name,class
NCT00274391,Cystic Fibrosis Foundation,OTHER
NCT01486199,National Institutes of Health (NIH),NIH
NCT01486199,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT02157922,Eurostars,OTHER
NCT02157922,Smerud Medical Research International AS,OTHER
NCT02054377,Royal Brompton & Harefield NHS Foundation Trust,OTHER
NCT00839644,Cystic Fibrosis Foundation,OTHER
NCT00839644,American Biosystems (currently Hill-Rom),UNKNOWN
NCT05590169,Istanbul University - Cerrahpasa,OTHER
NCT01293084,Cystic Fibrosis Foundation,OTHER
NCT03617718,National Institutes of Health (NIH),NIH
NCT03617718,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT03617718,University Hospitals Cleveland Medical Center,OTHER
NCT00625703,Cystic Fibrosis Foundation,OTHER
NCT01543191,Celerion,INDUSTRY
NCT01348204,National Institutes of Health (NIH),NIH
NCT02947126,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT01018303,Cystic Fibrosis Foundation,OTHER
NCT01018303,Yasoo Health,INDUSTRY
NCT01018303,National Institutes of Health (NIH),NIH
NCT02141191,Parion Sciences,INDUSTRY
NCT02144246,Society of Family Planning,OTHER
NCT03206788,University of Alabama at Birmingham,OTHER
NCT03206788,"Children's Hospital Medical Center, Cincinnati",OTHER
NCT03206788,University of Kansas Medical Center,OTHER
NCT03206788,Cystic Fibrosis Foundation,OTHER
NCT02325362,Actelion,INDUSTRY
NCT02325362,CRCM (Centres de Ressources et de Compétences de la Mucoviscidose),UNKNOWN
NCT02325362,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT01429259,Thrasher Research Fund,OTHER
NCT00221546,Belgian Society against Cystic Fibrosis,UNKNOWN
NCT06350461,Cystic Fibrosis Foundation,OTHER
NCT06350461,Dartmouth-Hitchcock Medical Center,OTHER
NCT06350461,University of Washington,OTHER
NCT00179998,"Genentech, Inc.",INDUSTRY
NCT01337219,University of Lyon,OTHER
NCT01337219,Epidemiologie Pharmacologie Investigation Clinique Information medicale Mere Enfant (EPICIME),UNKNOWN
NCT01337219,Clininfo S.A.,INDUSTRY
NCT01337219,Hospices Civils de Lyon,OTHER
NCT05562492,University of Oxford,OTHER
NCT05562492,University of Edinburgh,OTHER
NCT00530244,Cystic Fibrosis Foundation,OTHER
NCT04096664,Icadom,INDUSTRY
NCT01958944,Soroka University Medical Center,OTHER
NCT01958944,"Schneider Children's Medical Center, Israel",OTHER
NCT01708655,Cystic Fibrosis Foundation,OTHER
NCT00271310,Cystic Fibrosis Foundation,OTHER
NCT00271310,"National Health and Medical Research Council, Australia",OTHER
NCT00271310,Cystic Fibrosis Trust,OTHER
NCT01093521,Cystic Fibrosis Foundation,OTHER
NCT01494909,Arkansas Children's Hospital Research Institute,OTHER
NCT01494909,University of Arkansas,OTHER
NCT00763412,Washington University School of Medicine,OTHER
NCT00763412,National Institutes of Health (NIH),NIH
NCT00763412,Novo Nordisk A/S,INDUSTRY
NCT00763412,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT01112059,Cystic Fibrosis Foundation,OTHER
NCT04060329,Cystic Fibrosis Foundation,OTHER
NCT04060329,Boston Children's Hospital,OTHER
NCT01158937,Sunnybrook Health Sciences Centre,OTHER
NCT01158937,University of Toronto,OTHER
NCT01161537,Cystic Fibrosis Foundation,OTHER
NCT02965326,Association Mucoviscidose-ABCF2,OTHER
NCT02965326,Vaincre la Mucoviscidose,OTHER
NCT03637504,University of Arizona,OTHER
NCT03637504,Johns Hopkins University,OTHER
NCT03637504,Cystic Fibrosis Foundation,OTHER
NCT03070522,Canadian Cystic Fibrosis Foundation,OTHER
NCT02323100,University of Alabama at Birmingham,OTHER
NCT02323100,Children's Hospital of Philadelphia,OTHER
NCT02323100,Johns Hopkins University,OTHER
NCT02323100,"Horizon Pharma Ireland, Ltd., Dublin Ireland",INDUSTRY
NCT04039087,Augusta University,OTHER
NCT04039087,Cystic Fibrosis Foundation,OTHER
NCT01706445,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",OTHER
NCT02342964,Vaincre la Mucoviscidose,OTHER
NCT02342964,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT07696338,Cystic Fibrosis Foundation,OTHER
NCT00333385,Vaincre la Mucoviscidose,OTHER
NCT00333385,GlaxoSmithKline,INDUSTRY
