nct_id,intervention_type,intervention_name,description
NCT00686361,DRUG,Choline supplementation,"Chart data, height, weight, pulmonary function, dietary intake and a venous blood and urine sample will be collected at enrollment then every 3 months for 9 months. Choline supplementation will be from enrollment for 6 months, with follow up at 3 months post supplementation. To avoid additional hospital visits and blood draws, and to co-ordinate with pulmonary function, hematology, clinical chemistry tests as part of clinical care, each subject will be seen at routine scheduled clinic appointments, which are every 3 months."
NCT04599465,DRUG,ELX/TEZ/IVA,Fixed dose combination (FDC) tablets for oral administration.
NCT04599465,DRUG,IVA,Tablets for oral administration.
NCT05420844,OTHER,Kintsugi voice journaling application,Participants will use the Kintsugi voice journaling phone application for three months.
NCT00008775,DEVICE,Pressure support ventilation,
NCT02392234,DRUG,VX-661/Ivacaftor,"Fixed dose combination tablet, oral use"
NCT02392234,DRUG,Ivacaftor,"Tablet, oral use"
NCT02392234,DRUG,Placebo matched to VX-661/ ivacaftor,"Fixed dose combination tablet, oral use"
NCT02392234,DRUG,Placebo matched to Ivacaftor,"Tablet, oral use"
NCT01710644,DRUG,Burlulipase,Burlulipase oral solution will be taken with meals and snacks for 5 to 7 days
NCT01710644,DRUG,Placebo (Caramel in sterile water),Placebo will be taken with meals and snacks for 5 to 7 days
NCT00458341,DRUG,Ataluren,"Ataluren will be provided as a vanilla-flavored powder to be mixed with water, milk, or apple juice. Participants are to receive a total of 42 doses of ataluren during each cycle, for a total of 84 doses of ataluren in both cycles."
NCT03522480,DEVICE,Jamboxx Respiratory Therapy Device,"The Jamboxx Respiratory Therapy Device is a novel device that uses interactive gaming to encourage patient compliance with their prescribed respiratory therapy routines. The device consists of a computer game controller with mouthpiece, and breath flow sensor that connects to a tablet. With the Jamboxx respiratory therapy device, users can choose from a suite of breath controlled respiratory therapy games to guide them through their routines while receiving real-time feedback, and long-term progress tracking."
NCT03522480,OTHER,Autogenic Draining Training,"A respiratory therapist will teach children how to conduct the autogenic draining technique (a series of exhalations and inhalations) by demonstrating the technique to them, and having them practice in their office. Children will also receive an informational packet and short video about the technique for reference"
NCT02227888,DRUG,N91115,S nitrosoglutathione reductase inhibitor
NCT00457821,DRUG,Ivacaftor 25 mg/75 mg,25 mg or 75 mg q12h for a total of 28 days (Part 1)
NCT00457821,DRUG,Ivacaftor 75 mg/150 mg,75 mg or 150 mg q12h for a total of 28 days (Part 1)
NCT00457821,DRUG,Ivacaftor 150 mg or 250 mg,150 mg or 250 mg of ivacaftor q12h for 28 days (Part 2)
NCT00457821,DRUG,Placebo,Given q12h for 28 days each in Part 1 and Part 2 of the study
NCT02700243,BEHAVIORAL,Fitbit,Participants receive a Fitbit and are followed over the course of one year to determine use and health outcomes.
NCT01793649,DRUG,GS-5737,A single dose of GS-5737 in 2.8% saline
NCT02170025,DRUG,"Riociguat (Adempas, BAY63-2521)","Participants received 0.5 mg BAY63-2521 three times daily (tid) for 14 days. The dose would be increased to 1 mg BAY63-2521 for an additional 14 days, if this was considered safe and tolerable on the basis of the available data for a given patient."
NCT02170025,DRUG,Placebo,Participants received matching placebo tid.
